swe_bench_test_id,repo,commit,C,C++,Java,Kotlin,Python,Go,Rust,JavaScript,HTML,Ruby,TypeScript,PHP
instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,NodeBB/NodeBB,1e137b07052bc3ea0da44ed201702c94055b8ad2,0,0,0,0,0,0,0,96158,330,0,0,0
instance_NodeBB__NodeBB-51d8f3b195bddb13a13ddc0de110722774d9bb1b-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,NodeBB/NodeBB,da2441b9bd293d7188ee645be3322a7305a43a19,0,0,0,0,0,0,0,100775,329,0,0,0
instance_NodeBB__NodeBB-397835a05a8e2897324e566b41c5e616e172b4af-v89631a1cdb318276acb48860c5d78077211397c6,NodeBB/NodeBB,7f48edc02aa68c547d96ad7d6432ff8c1e359742,0,0,0,0,0,0,0,88979,330,0,0,0
instance_NodeBB__NodeBB-a5afad27e52fd336163063ba40dcadc80233ae10-vd59a5728dfc977f44533186ace531248c2917516,NodeBB/NodeBB,7800016f2f1b89d2d3cfea6a7da7c77096b7b927,0,0,0,0,0,0,0,108166,252,0,0,0
instance_NodeBB__NodeBB-f9ce92df988db7c1ae55d9ef96d247d27478bc70-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,NodeBB/NodeBB,61d17c95e573f91ab5c65d25218451e9afd07d77,0,0,0,0,0,0,0,107999,252,0,0,0
instance_NodeBB__NodeBB-f48ed3658aab7be0f1165d4c1f89af48d7865189-v0495b863a912fbff5749c67e860612b91825407c,NodeBB/NodeBB,140f9d2481f7a97941593eb6c158013deeb0c0d4,0,0,0,0,0,0,0,89458,330,0,0,0
instance_NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,NodeBB/NodeBB,3ecbb624d892b9fce078304cf89c0fe94f8ab3be,0,0,0,0,0,0,0,89050,330,0,0,0
instance_NodeBB__NodeBB-22368b996ee0e5f11a5189b400b33af3cc8d925a-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed,NodeBB/NodeBB,88aee439477603da95beb8a1cc23d43b9d6d482c,0,0,0,0,0,0,0,91803,330,0,0,0
instance_NodeBB__NodeBB-eb49a64974ca844bca061744fb3383f5d13b02ad-vnan,NodeBB/NodeBB,8fd8079a84d8e71ab02eaa69ef15cb33fcea85c7,0,0,0,0,0,0,0,106609,252,0,0,0
instance_NodeBB__NodeBB-76c6e30282906ac664f2c9278fc90999b27b1f48-vd59a5728dfc977f44533186ace531248c2917516,NodeBB/NodeBB,a3e1a666b876e0b3ccbb5284dd826c8c90c113b4,0,0,0,0,0,0,0,99780,252,0,0,0
instance_NodeBB__NodeBB-9c576a0758690f45a6ca03b5884c601e473bf2c1-vd59a5728dfc977f44533186ace531248c2917516,NodeBB/NodeBB,09f3ac6574b3192497df0403306aff8d6f20448b,0,0,0,0,0,0,0,92677,330,0,0,0
instance_NodeBB__NodeBB-70b4a0e2aebebe8f2f559de6680093d96a697b2f-vnan,NodeBB/NodeBB,6bbe3d1c4cefe56f81629dfa3343fd0a875d9cf1,0,0,0,0,0,0,0,99394,252,0,0,0
instance_NodeBB__NodeBB-be43cd25974681c9743d424238b7536c357dc8d3-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,NodeBB/NodeBB,f24b630e1afcb8135144be66d67a09a61b21753e,0,0,0,0,0,0,0,88705,330,0,0,0
instance_NodeBB__NodeBB-82562bec444940608052f3e4149e0c61ec80bf3f-vd59a5728dfc977f44533186ace531248c2917516,NodeBB/NodeBB,779c73eadea5d4246a60ab60486d5e49164884db,0,0,0,0,0,0,0,98284,329,0,0,0
instance_NodeBB__NodeBB-4327a09d76f10a79109da9d91c22120428d3bdb9-vnan,NodeBB/NodeBB,754965b572f33bfd864e98e4805e1182c1960080,0,0,0,0,0,0,0,87145,330,0,0,0
instance_NodeBB__NodeBB-6489e9fd9ed16ea743cc5627f4d86c72fbdb3a8a-v2c59007b1005cd5cd14cbb523ca5229db1fd2dd8,NodeBB/NodeBB,84dfda59e6a0e8a77240f939a7cb8757e6eaf945,0,0,0,0,0,0,0,90522,330,0,0,0
instance_NodeBB__NodeBB-97c8569a798075c50e93e585ac741ab55cb7c28b-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,NodeBB/NodeBB,d9e2190a6b4b6bef2d8d2558524dd124be33760f,0,0,0,0,0,0,0,88336,330,0,0,0
instance_NodeBB__NodeBB-6ea3b51f128dd270281db576a1b59270d5e45db0-vnan,NodeBB/NodeBB,d9c42c000cd6c624794722fd55a741aff9d18823,0,0,0,0,0,0,0,89693,330,0,0,0
instance_NodeBB__NodeBB-767973717be700f46f06f3e7f4fc550c63509046-vnan,NodeBB/NodeBB,a2ebf53b6098635c3abcab3fd9144c766e32b350,0,0,0,0,0,0,0,91410,330,0,0,0
instance_NodeBB__NodeBB-0e07f3c9bace416cbab078a30eae972868c0a8a3-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,NodeBB/NodeBB,bbaaead09c5e3c852d243b113724d2048e1c175a,0,0,0,0,0,0,0,86344,330,0,0,0
instance_NodeBB__NodeBB-bd80d36e0dcf78cd4360791a82966078b3a07712-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed,NodeBB/NodeBB,88e891fcc66d79c3fbc19379c12dc6225630251e,0,0,0,0,0,0,0,95984,330,0,0,0
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,NodeBB/NodeBB,f8cfe64c7e5243ac394695293d7517b0b509a4b3,0,0,0,0,0,0,0,99898,252,0,0,0
instance_NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed,NodeBB/NodeBB,b94bb1bf93390e5204551bfc647049c6f8c5a60d,0,0,0,0,0,0,0,92882,330,0,0,0
